semana,app_id,canal,installs,compradores_unicos,total_compras,revenue_usd,arpi,ticket_promedio
2026-06-08,id1531467766,Social_tiktok,5,0,0,,,
2026-06-08,id1531467766,crm_vix_avod_eml,0,0,0,,,
2026-06-08,com.univision.prendetv,Product_vix,0,0,0,,,
2026-06-08,com.univision.prendetv,MiQ_int,31,0,0,,,
2026-06-08,com.univision.prendetv,googleadwords_int,638902,7517,7521,,,
2026-06-08,id1531467766,Social_YouTube_longform,0,0,0,,,
2026-06-08,id1531467766,Digital_Promo,0,0,0,,,
2026-06-08,com.univision.prendetv,Digital_Web_LCDLF,0,10,10,,,
2026-06-08,com.univision.prendetv,entravision,60989,871,871,,,
2026-06-08,id1531467766,starrisedzf_int,368,2,2,,,
2026-06-08,com.univision.prendetv,TikTok_Paid,1,0,0,,,
2026-06-08,com.univision.prendetv,oppopaipreinstall_int,293,2,2,,,
2026-06-08,com.univision.prendetv,Social_Univision,0,0,0,,,
2026-06-08,id1531467766,Web_article,0,0,0,,,
2026-06-08,id1531467766,Digital_Web_Univision,0,0,0,,,
2026-06-08,id1531467766,Product_vix,0,0,0,,,
2026-06-08,id1531467766,Social_facebook,22,1,1,,,
2026-06-08,com.univision.prendetv,crm_vix_avod_eml,1,0,0,,,
2026-06-08,com.univision.prendetv,Twitter_Paid,361,2,2,,,
2026-06-08,com.univision.prendetv,QR_code,72,0,0,,,
2026-06-08,id1531467766,Social_Univision,0,0,0,,,
2026-06-08,com.univision.prendetv,world_cup_sports_page,724,5,5,,,
2026-06-08,id1531467766,Social_Facebook_comment,0,0,0,,,
2026-06-08,com.univision.prendetv,,5,0,0,,,
2026-06-08,com.univision.prendetv,winclap,4191,208,208,,,
2026-06-08,com.univision.prendetv,Web_article,0,0,0,,,
2026-06-08,id1531467766,Altan_Redes,19,0,0,,,
2026-06-08,id1531467766,Social_instagram,0,0,0,,,
2026-06-08,id1531467766,MiQ_int,1,0,0,,,
2026-06-08,com.univision.prendetv,bcnagency,85110,1062,1062,,,
2026-06-08,com.univision.prendetv,Social_Televisa,0,0,0,,,
2026-06-08,id1531467766,influencers,0,0,0,,,
2026-06-08,id1531467766,Facebook_Paid,0,0,0,,,
2026-06-08,com.univision.prendetv,xiaomipai_int,9,1,1,,,
2026-06-08,com.univision.prendetv,rocket,2747,3054,3061,,,
2026-06-08,com.univision.prendetv,appgradear424,185992,3161,3162,,,
2026-06-08,id1531467766,,0,0,0,,,
2026-06-08,com.univision.prendetv,Social_Facebook_image,2,0,0,,,
2026-06-08,com.univision.prendetv,Social_instagram,1,0,0,,,
2026-06-08,id1531467766,world_cup_sports_page,61,0,0,,,
2026-06-08,id1531467766,dv360_int,0,2,2,,,
2026-06-08,com.univision.prendetv,tiktokglobal_int,39326,3116,3119,,,
2026-06-08,com.univision.prendetv,Digital,414,3,3,,,
2026-06-08,com.univision.prendetv,Social_YouTube_longform,6,0,0,,,
2026-06-08,com.univision.prendetv,Facebook_Paid,0,0,0,,,
2026-06-08,com.univision.prendetv,dv360_int,0,199,199,,,
2026-06-15,id1531467766,lychee,273933,14897,14909,44464.94584,0.1623205157,2.982423089
2026-06-15,id1531467766,appgradear424,337548,13798,13804,29810.89763,0.08831602507,2.159584007
2026-06-15,id1531467766,organic,77688,3163,3163,9428.915319,0.1213690058,2.981003895
2026-06-15,id1531467766,Apple Search Ads,37811,1479,1480,2521.273679,0.06668095736,1.703563296
2026-06-15,id1531467766,tiktokglobal_int,966,919,920,2337.319852,2.419585768,2.540565056
2026-06-15,id1531467766,entravision,33314,1207,1207,2237.760169,0.06717176471,1.853985227
2026-06-15,id1531467766,rocket,30096,1122,1123,2028.043832,0.06738582642,1.805916146
2026-06-15,id1531467766,product_vix,9730,1299,1299,1319.964731,0.1356592735,1.016139131
2026-06-15,id1531467766,bcnagency,6868,551,551,1295.560365,0.188637211,2.351289229
